[7.9448376e+00,-1.4022126e+01,-7.5163994e+01,-3.0889637e+01,1.4307694e+01,-6.9964409e+00,-9.0972996e-01,-7.5763464e-04]
[8.5513096e+00,-1.3895561e+01,-7.5460716e+01,-3.0189697e+01,1.4427649e+01,-7.0983753e+00,-7.2766685e-01,-1.5239418e-04]
[9.2363892e+00,-1.5836893e+01,-7.6979530e+01,-3.4647480e+01,1.3874817e+01,-7.2315483e+00,-7.0292377e-01,-1.4566034e-03]
[9.49440575e+00,-1.69529762e+01,-7.78187332e+01,-3.84381104e+01,1.36516905e+01,-7.40088749e+00,-7.67878532e-01,-2.53558159e-03]
[9.7229004e+00,-1.7955009e+01,-7.7844742e+01,-4.2292175e+01,1.3644920e+01,-7.4175110e+00,-3.6773586e-01,-3.5826713e-03]
[9.96136284e+00,-1.85940857e+01,-7.79511032e+01,-4.56875420e+01,1.49800825e+01,-7.40322781e+00,7.28094101e-01,-4.71875072e-03]
[9.5387459e+00,-1.8986237e+01,-7.7025871e+01,-4.7862206e+01,1.6792309e+01,-7.3207569e+00,1.9988933e+00,-5.8563352e-03]
[8.8363380e+00,-1.9489830e+01,-7.4954048e+01,-4.9802780e+01,1.9374287e+01,-7.1856089e+00,3.1050920e+00,-6.9680512e-03]
[8.0634499e+00,-1.9932936e+01,-7.2604210e+01,-5.0980934e+01,2.2067818e+01,-7.1946707e+00,3.8193421e+00,-8.1333071e-03]
[7.0646610e+00,-2.0917305e+01,-6.8597519e+01,-5.2082718e+01,2.5035740e+01,-6.9808664e+00,4.5808182e+00,-9.0241134e-03]
[6.2707939e+00,-2.1366035e+01,-6.4999260e+01,-5.2774811e+01,2.7137070e+01,-7.0248718e+00,4.6931219e+00,-1.0933384e-02]
[5.3490400e+00,-2.2383198e+01,-6.1676193e+01,-5.3357796e+01,2.9260164e+01,-7.1627750e+00,4.9132137e+00,-1.0585874e-02]
[4.4491329e+00,-2.3328863e+01,-5.8451389e+01,-5.3315269e+01,3.1055740e+01,-7.2005491e+00,5.0194969e+00,-1.1535242e-02]
[3.4576473e+00,-2.4455490e+01,-5.5054379e+01,-5.3804790e+01,3.2434013e+01,-7.1632118e+00,5.5223742e+00,-9.5542371e-03]
[1.6601582e+00,-2.4568581e+01,-5.1649441e+01,-5.3957092e+01,3.2962452e+01,-7.1379738e+00,5.1225753e+00,-9.4201714e-03]
